state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,participating_in_cep,claiming_isp,total_enrolled,total_eligible
oh,048132,Clearview Local SD,00038448,Vincent Elementary School,49.59%,,43.46%,Y,603,299
oh,048132,Clearview Local SD,00008896,Durling Middle School,42.05%,,43.46%,Y,528,222
oh,048199,ESC of Lake Erie West ,00085100,Alternate Learning Center,37.25%,,43.48%,Y,51,19
oh,048280,Mahoning Educational Service Center,50048280,MCESC Manor Program,59.57%,,59.57%,Y,47,28
oh,048355,Sebring Local SD,00023879,Mckinley High School,40.42%,,50.50%,Y,240,97
oh,048355,Sebring Local SD,00024836,B L Miller Elementary School,59.70%,,50.50%,Y,263,157
oh,048520,Meigs Local SD,00024117,Meigs High School,40.32%,,52.56%,Y,563,227
oh,048520,Meigs Local SD,00062307,Meigs Middle School,54.13%,,52.56%,Y,375,203
oh,048520,Meigs Local SD,00000105,Meigs Intermediate School,60.59%,,52.56%,Y,784,475
oh,048538,Southern Local SD,00035220,Southern High School,31.19%,,44.54%,Y,218,68
oh,048538,Southern Local SD,00142141,Southern Elementary School,55.53%,,44.54%,Y,515,286
oh,048660,Montgomery County Educational ,00008044,Learning Ctr-Montgomery ESC,39.44%,,40.52%,Y,180,71
oh,048660,Montgomery County Educational ,00000672,Montgomery County ESC Learning Center,41.80%,,40.52%,Y,122,51
oh,048686,Jefferson Township,00002824,Blairwood Elementary School,54.34%,,61.24%,Y,173,94
oh,048686,Jefferson Township,00018150,Jefferson High School,46.67%,,61.24%,Y,165,77
oh,048694,Trotwood-Madison City Schools,00022186,Trotwood-Madison High School,57.18%,,62.50%,Y,822,470
oh,048694,Trotwood-Madison City Schools,00013322,Westbrooke Village Elementary,60.93%,,62.50%,Y,407,248
oh,048694,Trotwood-Madison City Schools,00013957,Trotwood-Madison Middle School,61.65%,,62.50%,Y,498,307
oh,048694,Trotwood-Madison City Schools,00009224,Madison Park Elementary,70.60%,,62.50%,Y,398,281
oh,048694,Trotwood-Madison City Schools,00028571,Trotwood-Madison Early Learning Center,69.05%,,62.50%,Y,475,328
oh,048702,Mad River,00003442,Brantwood Elementary School,39.02%,,42.05%,Y,428,167
oh,048702,Mad River,00033647,Saville Elementary School,39.44%,,42.69%,Y,393,155
oh,048702,Mad River,00015461,Virginia Stevenson Elementary School,45.07%,,42.05%,Y,335,151
oh,048736,Northridge Local SD,00027763,Northridge High School,54.20%,,60.78%,Y,655,355
oh,048736,Northridge Local SD,00025577,Northridge Elementary School,67.11%,,60.78%,Y,380,255
oh,048777,Morgan Local SD,00142174,West Elementary School,39.51%,,41.37%,Y,329,130
oh,048777,Morgan Local SD,00142158,Morgan Junior High School,39.93%,,41.37%,Y,278,111
oh,048777,Morgan Local SD,00025544,Morgan High School,40.24%,,41.37%,Y,507,204
oh,048777,Morgan Local SD,00142182,South Elementary School,41.85%,,41.37%,Y,313,131
oh,048777,Morgan Local SD,00142166,East Elementary School,45.08%,,41.37%,Y,386,174
oh,048850,Maysville Local SD,00023358,Maysville High School,34.15%,,41.64%,Y,615,210
oh,048850,Maysville Local SD,00062232,Maysville Middle School,40.12%,,41.64%,Y,501,201
oh,048850,Maysville Local SD,00145352,Maysville Elementary School,49.90%,,41.64%,Y,1044,521
oh,048926,Benton Carroll Salem,00014890,Graytown-North Point,51.28%,,51.28%,Y,39,20
oh,049064,Southern Local SD,00024851,Miller High School,55.78%,,45.90%,Y,658,367
oh,049122,Eastern Local SD,00009589,Eastern High School,49.15%,,49.15%,Y,883,434
